Box Size length;Box size width;Box size height;Cl;Cd;Sim_number;Relative_error_percent
8.2165;4.10825;8.2165;0.28443;0.00605;0;3.795027905
16.433;8.2165;16.433;0.27377;0.00532;1;7.400642652
32.866;16.433;32.866;0.27705;0.00535;2;6.29122273
49.299;24.6495;49.299;0.28341;0.00521;3;4.140030441
65.732;32.866;65.732;0.2897;0.00522;4;2.012514798
82.165;41.0825;82.165;0.29175;0.00512;5;1.319127347
98.598;49.299;98.598;0.29301;0.00516;6;0.892947742
115.031;57.5155;115.031;0.29536;0.00509;7;0.098088957
131.464;65.732;131.464;0.29539;0.00514;8;0.087941823
147.897;73.9485;147.897;0.29565;0.0049;9;0
