
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.5065   0.09362   0.09288  -0.0555   0.9977   0.0174
  -9.900  -0.5066   0.09142   0.09069  -0.0570   0.9975   0.0177
  -9.800  -0.5069   0.08918   0.08845  -0.0585   0.9973   0.0179
  -9.700  -0.5070   0.08693   0.08620  -0.0601   0.9971   0.0184
  -9.600  -0.5068   0.08475   0.08402  -0.0616   0.9969   0.0187
  -9.500  -0.5079   0.08241   0.08168  -0.0633   0.9967   0.0188
  -9.400  -0.5087   0.08008   0.07935  -0.0650   0.9965   0.0189
  -9.300  -0.5096   0.07773   0.07700  -0.0667   0.9963   0.0190
  -9.200  -0.5100   0.07545   0.07472  -0.0684   0.9961   0.0193
  -9.100  -0.5117   0.07296   0.07223  -0.0703   0.9958   0.0194
  -9.000  -0.5127   0.07054   0.06981  -0.0722   0.9956   0.0195
  -8.900  -0.5150   0.06804   0.06732  -0.0741   0.9953   0.0196
  -8.800  -0.5168   0.06557   0.06485  -0.0760   0.9950   0.0197
  -8.700  -0.5190   0.06292   0.06220  -0.0783   0.9946   0.0199
  -8.600  -0.5212   0.06023   0.05950  -0.0806   0.9942   0.0199
  -8.500  -0.5243   0.05759   0.05687  -0.0826   0.9939   0.0200
  -8.400  -0.5574   0.06525   0.06452  -0.0752   0.9873   0.0200
  -8.300  -0.5536   0.06128   0.06054  -0.0824   0.9939   0.0204
  -8.200  -0.5555   0.05861   0.05787  -0.0849   0.9935   0.0206
  -8.100  -0.5578   0.05584   0.05509  -0.0876   0.9929   0.0208
  -8.000  -0.5686   0.05458   0.05383  -0.0849   0.9855   0.0209
  -7.900  -0.5721   0.05192   0.05115  -0.0875   0.9849   0.0211
  -7.800  -0.5755   0.04943   0.04864  -0.0900   0.9844   0.0212
  -7.700  -0.5791   0.04691   0.04610  -0.0926   0.9836   0.0214
  -7.600  -0.5833   0.04444   0.04359  -0.0952   0.9826   0.0215
  -7.500  -0.5874   0.04217   0.04128  -0.0973   0.9816   0.0216
  -7.400  -0.5919   0.03994   0.03902  -0.0994   0.9800   0.0218
  -7.300  -0.5978   0.03814   0.03719  -0.1001   0.9786   0.0220
  -7.200  -0.6044   0.03635   0.03535  -0.1007   0.9753   0.0222
  -7.100  -0.6111   0.03455   0.03352  -0.1013   0.9724   0.0223
  -7.000  -0.6180   0.03287   0.03179  -0.1016   0.9685   0.0224
  -6.900  -0.6249   0.03127   0.03013  -0.1016   0.9627   0.0225
  -6.800  -0.6322   0.02972   0.02852  -0.1013   0.9554   0.0226
  -6.700  -0.6388   0.02827   0.02699  -0.1009   0.9462   0.0227
  -6.600  -0.6455   0.02683   0.02546  -0.1004   0.9349   0.0227
  -6.500  -0.6513   0.02543   0.02397  -0.1000   0.9250   0.0229
  -6.400  -0.6564   0.02407   0.02251  -0.0995   0.9151   0.0230
  -6.300  -0.6618   0.02271   0.02105  -0.0989   0.9055   0.0231
  -6.200  -0.6656   0.02145   0.01969  -0.0981   0.8974   0.0233
  -6.100  -0.6689   0.02022   0.01836  -0.0973   0.8899   0.0234
  -6.000  -0.6713   0.01905   0.01709  -0.0963   0.8826   0.0236
  -5.900  -0.6730   0.01794   0.01587  -0.0951   0.8758   0.0238
  -5.800  -0.6742   0.01689   0.01470  -0.0937   0.8670   0.0241
  -5.600  -0.6730   0.01508   0.01268  -0.0905   0.8539   0.0247
  -5.500  -0.6720   0.01429   0.01178  -0.0886   0.8482   0.0251
  -5.400  -0.6712   0.01357   0.01097  -0.0865   0.8428   0.0255
  -5.300  -0.6721   0.01296   0.01027  -0.0840   0.8366   0.0258
  -5.200  -0.6719   0.01233   0.00954  -0.0817   0.8286   0.0262
  -5.100  -0.6665   0.01157   0.00868  -0.0802   0.8228   0.0266
  -5.000  -0.6582   0.01081   0.00782  -0.0792   0.8186   0.0270
  -4.900  -0.6459   0.01013   0.00704  -0.0785   0.8124   0.0275
  -4.800  -0.6301   0.00957   0.00639  -0.0781   0.8084   0.0280
  -4.700  -0.6120   0.00914   0.00589  -0.0778   0.8025   0.0287
  -4.600  -0.5925   0.00882   0.00551  -0.0776   0.7988   0.0293
  -4.400  -0.5521   0.00834   0.00492  -0.0773   0.7867   0.0300
  -4.300  -0.5318   0.00812   0.00465  -0.0772   0.7820   0.0307
  -4.200  -0.5115   0.00792   0.00440  -0.0772   0.7780   0.0314
  -4.100  -0.4915   0.00775   0.00420  -0.0771   0.7718   0.0327
  -4.000  -0.4716   0.00762   0.00403  -0.0769   0.7676   0.0336
  -3.900  -0.4518   0.00749   0.00388  -0.0768   0.7621   0.0347
  -3.800  -0.4321   0.00737   0.00372  -0.0767   0.7575   0.0357
  -3.600  -0.3929   0.00718   0.00347  -0.0765   0.7456   0.0382
  -3.500  -0.3735   0.00709   0.00336  -0.0764   0.7395   0.0390
  -3.400  -0.3541   0.00701   0.00326  -0.0764   0.7338   0.0396
  -3.300  -0.3348   0.00694   0.00316  -0.0763   0.7279   0.0400
  -3.200  -0.3155   0.00687   0.00306  -0.0763   0.7214   0.0411
  -3.100  -0.2963   0.00678   0.00295  -0.0763   0.7172   0.0434
  -3.000  -0.2772   0.00670   0.00285  -0.0764   0.7117   0.0458
  -2.900  -0.2580   0.00662   0.00276  -0.0764   0.7084   0.0476
  -2.800  -0.2388   0.00655   0.00268  -0.0765   0.7047   0.0491
  -2.600  -0.2009   0.00642   0.00253  -0.0766   0.6956   0.0531
  -2.500  -0.1820   0.00635   0.00245  -0.0767   0.6903   0.0565
  -2.400  -0.1631   0.00629   0.00238  -0.0768   0.6853   0.0585
  -2.300  -0.1444   0.00625   0.00232  -0.0769   0.6781   0.0597
  -2.200  -0.1260   0.00623   0.00227  -0.0769   0.6690   0.0612
  -2.100  -0.1075   0.00619   0.00221  -0.0770   0.6596   0.0650
  -2.000  -0.0894   0.00617   0.00216  -0.0771   0.6421   0.0678
  -1.800  -0.0532   0.00612   0.00205  -0.0773   0.6106   0.0820
  -1.700  -0.0355   0.00613   0.00201  -0.0773   0.5874   0.0882
  -1.600  -0.0186   0.00621   0.00200  -0.0772   0.5537   0.0918
  -1.500  -0.0034   0.00641   0.00203  -0.0769   0.4868   0.0962
  -1.400   0.0113   0.00662   0.00206  -0.0766   0.4188   0.1002
  -1.200   0.0434   0.00681   0.00205  -0.0764   0.3325   0.1184
  -1.100   0.0605   0.00680   0.00202  -0.0764   0.3057   0.1362
  -1.000   0.0773   0.00681   0.00200  -0.0765   0.2739   0.1575
  -0.900   0.0945   0.00681   0.00199  -0.0765   0.2575   0.1694
  -0.800   0.1120   0.00677   0.00196  -0.0767   0.2381   0.1946
  -0.700   0.1286   0.00680   0.00196  -0.0766   0.2143   0.2092
  -0.600   0.1454   0.00683   0.00196  -0.0765   0.1964   0.2205
  -0.500   0.1623   0.00681   0.00195  -0.0766   0.1746   0.2438
  -0.400   0.1802   0.00668   0.00190  -0.0770   0.1586   0.2956
  -0.300   0.1975   0.00665   0.00189  -0.0770   0.1479   0.3184
  -0.200   0.2149   0.00659   0.00187  -0.0771   0.1398   0.3454
  -0.100   0.2328   0.00645   0.00183  -0.0774   0.1330   0.3950
   0.000   0.2499   0.00637   0.00181  -0.0775   0.1236   0.4311
   0.100   0.2671   0.00624   0.00177  -0.0776   0.1161   0.4779
   0.200   0.2838   0.00615   0.00176  -0.0775   0.1091   0.5207
   0.300   0.3004   0.00612   0.00178  -0.0773   0.1040   0.5449
